SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
14-00029285,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:54:59 AM,CLOSED,1,DDOT,N,2/11/2014 12:52:03 PM,UNKNOWN,2/11/2014 12:48:22 PM,2/14/2014 10:54:59 AM,Comments update:  14-00029285-Broken Parking Meter  Meter Found Working,,2/7/2014 10:54:59 AM,2/12/2014 12:38:02 AM,800 - 819 BLOCK 13TH STREET NW,38.90001263402280,-77.029634229679,,0,455817,391845,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00029286,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:55:12 AM,OVERDUE CLOSED,1,DDOT,N,1/30/2015 12:10:18 PM,UNKNOWN,1/30/2015 12:05:23 PM,2/14/2014 10:55:12 AM,Comments update:  14-00029286-Broken Parking MeterIncorrect meter number and/or invalid information,,2/7/2014 10:55:12 AM,1/30/2015 1:36:11 PM,300 - 379 BLOCK 3RD STREET NE,38.89409300591490,-77.00203651719140,,0,477185,410534,6,6C,6C08,FIRST,107,25,NONE,NONE,NONE,OPEN311
14-00029287,UNKNOWN,DMPRCEMA,DMV - Processing Center Manager,DRIVEHSE,Driver Vehicle Services,2/7/2014 10:57:00 AM,CLOSED,1,DMV,N,2/20/2014 10:00:00 AM,Not Found - Close SR,2/20/2014 10:01:29 AM,2/24/2014 8:57:00 PM,it help desk request on 02/20/2014,,2/7/2014 10:57:00 AM,3/3/2014 12:21:10 PM,1000 - 1199 BLOCK 29TH STREET NW,38.903893755067,-77.05807487644520,,0,454849,390877,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00029288,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:57:14 AM,CLOSED,1,DDOT,N,2/10/2014 11:23:33 PM,UNKNOWN,2/10/2014 11:18:41 PM,2/14/2014 10:57:14 AM,Comments update:  14-00029288-Broken Parking Meter  Meter Found Working,,2/7/2014 10:57:14 AM,2/11/2014 5:35:45 AM,1100 - 1199 BLOCK 20TH STREET NW,38.904699726249,-77.04490270297940,,0,455243,391271,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,OPEN311
14-00029289,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 10:57:48 AM,CLOSED,1,DDOT,N,2/7/2014 1:07:54 PM,UNKNOWN,2/8/2014 2:20:21 PM,2/12/2014 10:57:48 AM,"POTHOLE STREET REPAIR ( WO # 405409 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A             Finish: N/A",,2/7/2014 10:57:48 AM,2/9/2014 7:06:09 AM,800 - 869 BLOCK HAMILTON STREET NW,38.95298710345140,-77.02463998219160,,0,463545,398826,4,4D,4D04,FOURTH,403,18,NONE,NONE,NONE,WEB
14-00029290,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:57:49 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:25 PM,2/14/2014 10:57:49 AM,Comments update:  14-00029290-Broken Parking Meter  Meter Found Working,,2/7/2014 10:57:49 AM,2/12/2014 10:36:13 AM,4300 - 4369 BLOCK 49TH STREET NW,38.94504259511890,-77.09676673635480,,0,455685,391713,3,3D,3D03,SECOND,205,13,NONE,NONE,NONE,OPEN311
14-00029291,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 10:58:05 AM,CLOSED,1,DPW,N,,UNKNOWN,2/14/2014 12:58:48 PM,3/4/2014 10:58:05 AM,,,2/7/2014 10:58:05 AM,10/30/2014 12:31:17 PM,1200 TRENTON PLACE SE,38.84072979551620,-76.98977860488090,20032,72303,46057,46057,8,8E,8E04,SEVENTH,705,39,NONE,NONE,NONE,PHONE
14-00029292,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:00:18 AM,CLOSED,1,DDOT,N,2/10/2014 11:23:33 PM,UNKNOWN,2/10/2014 11:18:41 PM,2/14/2014 11:00:18 AM,Comments update:  14-00029292-Broken Parking Meter  Meter Found Working,,2/7/2014 11:00:18 AM,2/11/2014 5:35:45 AM,1100 - 1199 BLOCK 20TH STREET NW,38.904699726249,-77.04490270297940,,0,455243,391271,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,OPEN311
14-00029293,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:00:47 AM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:29 PM,2/14/2014 11:00:47 AM,Comments update:  14-00029293-Broken Parking Meter  Meter Found Working,,2/7/2014 11:00:47 AM,2/12/2014 10:07:21 AM,2100 - 2199 BLOCK L STREET NW,38.903742758609,-77.04776531901120,,0,454851,390879,2,2A,2A06,SECOND,207,6,NONE,NONE,NONE,OPEN311
14-00029294,UNKNOWN,DMV19,DMV - Vehicle Registration Issues,DRIVEHSE,Driver Vehicle Services,2/7/2014 11:00:58 AM,OVERDUE CLOSED,1,DMV,N,2/20/2014 10:01:00 AM,Not Enough Information - Close SR,2/20/2014 10:02:07 AM,2/19/2014 9:00:58 PM,it help desk request on 02/20/2014,,2/7/2014 11:00:58 AM,2/20/2014 10:39:33 AM,1000 - 1199 BLOCK CONSTITUTION AVENUE NW,38.89208348013920,-77.02706393067310,,0,455837,391865,2,2F,2F03,FIRST,101,NONE,NONE,NONE,NONE,WEB
14-00029295,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 11:02:02 AM,CLOSED,1,DDOT,N,2/10/2014 7:49:03 AM,UNKNOWN,2/10/2014 7:49:04 AM,2/12/2014 11:02:02 AM,"POTHOLE STREET REPAIR ( WO # 405582 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 09, 2014",,2/7/2014 11:02:02 AM,9/29/2014 11:55:27 AM,5500 - 5510 BLOCK NEW HAMPSHIRE AVENUE NW,38.95675288889270,-77.00917671022270,,0,477186,410535,4,4B,4B08,FOURTH,406,17,NONE,NONE,NONE,PHONE
14-00029296,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:02:06 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:26 PM,2/14/2014 11:02:06 AM,Comments update:  14-00029296-Broken Parking Meter  Meter Found Working,,2/7/2014 11:02:06 AM,2/12/2014 10:36:13 AM,4500 - 4599 BLOCK 40TH STREET NW,38.94984267515740,-77.07874121938230,,0,456232,392260,3,3F,3F06,SECOND,202,11,NONE,NONE,NONE,OPEN311
14-00029297,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 11:02:08 AM,CLOSED,1,DPW,N,,UNKNOWN,2/21/2014 11:25:51 AM,3/4/2014 11:02:08 AM,,,2/7/2014 11:02:08 AM,2/21/2014 11:37:00 AM,3104 MONROE STREET NE,38.93304284798680,-76.96464590738320,20018,40579,26462,26462,5,5A,5A11,FIFTH,503,24,NONE,NONE,NONE,PHONE
14-00029298,UNKNOWN,DMV01,DMV - Driver's License/ID Issues,DRIVEHSE,Driver Vehicle Services,2/7/2014 11:02:58 AM,CLOSED,1,DMV,N,2/12/2014 4:15:00 PM,Mailed - Close SR,2/12/2014 4:15:11 PM,2/24/2014 9:02:58 PM,"Greetings, the credential is currently being tracked and is scheduled to be delivered prior to the temporary credential expiring. If in the meantime, the customer�s temporary credential expires, the customer must visit any DMV service center for an updated temporary as any duplicate credential requires a new photograph.",,2/7/2014 11:02:58 AM,9/16/2014 1:36:08 PM,1485 HOWARD ROAD SE,38.85767289392210,-76.98652600388840,20020,286258,125114,125114,8,8A,8A07,SEVENTH,703,37,NONE,NONE,NONE,PHONE
14-00029299,UNKNOWN,F3242,Christmas Tree Removal - Seasonal,SWMCOLSE,Collections - Seasonal,2/7/2014 11:03:19 AM,OVERDUE CLOSED,1,DPW,N,2/12/2014 8:16:00 AM,Collected - Close SR,2/12/2014 8:16:39 AM,2/11/2014 11:03:19 AM,COMPLETED BY S.H......CLOSED BY NDAVALL,,2/7/2014 11:03:19 AM,10/23/2014 2:51:09 PM,1761 SHEPHERD STREET NW,38.93996815059980,-77.04064074558020,20011,258312,101178,101178,4,4A,4A08,FOURTH,404,18,NONE,NONE,NONE,PHONE
14-00029300,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:03:33 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:52 AM,UNKNOWN,2/11/2014 11:18:15 AM,2/14/2014 11:03:33 AM,Comments update:  14-00029300-Broken Parking Meter  Meter Found Working,,2/7/2014 11:03:33 AM,2/11/2014 5:39:55 PM,300 - 399 BLOCK MASSACHUSETTS AVENUE NE,38.89431391409910,-77.001318495940,,0,456321,392349,6,6C,6C08,FIRST,107,25,NONE,NONE,NONE,OPEN311
14-00029301,UNKNOWN,FESAADNU,FEMS - Smoke Alarm Application,FEMSMOAL,FEMS - Smoke Alarms,2/7/2014 11:04:48 AM,OPEN,1,FEMS,N,,UNKNOWN,,,,,2/7/2014 11:04:48 AM,2/7/2014 11:35:31 AM,309 F STREET NE,38.89715754170360,-77.00158771473420,20002,40778,27007,27007,6,6C,6C08,FIRST,104,25,NONE,NONE,NONE,WEB
14-00029302,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:05:59 AM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:30 PM,2/14/2014 11:05:59 AM,Comments update:  14-00029302-Broken Parking Meter  Meter Found Working,,2/7/2014 11:05:59 AM,2/12/2014 10:07:21 AM,1400 - 1499 BLOCK U STREET NW,38.91699720149650,-77.03324147311190,,0,455124,391152,2,2B,2B09,THIRD,301,3,NONE,NONE,NONE,OPEN311
14-00029303,UNKNOWN,S0441,Trash Collection - Missed,SWMCOLTR,Trash Collection,2/7/2014 11:06:22 AM,OVERDUE CLOSED,1,DPW,N,2/27/2014 1:14:00 PM,Icy Road/Close SR,2/27/2014 1:14:32 PM,2/11/2014 11:06:22 AM,due to snow.  closed by STG,,2/7/2014 11:06:22 AM,8/28/2014 5:28:06 PM,3413 ALABAMA AVENUE SE,38.86219312848060,-76.95679079236860,20020,34908,19071,19071,7,7B,7B06,SIXTH,606,35,NONE,NONE,NONE,PHONE
14-00029304,UNKNOWN,DMV43,DMV - Hearings,ADJUSERV,Adjudication Services,2/7/2014 11:06:42 AM,CLOSED,1,DMV,N,2/10/2014 8:54:00 AM,UNKNOWN,2/10/2014 8:54:46 AM,2/19/2014 11:06:42 AM,Copy of recshedule notice has been mailed out to the customer. Customer hearing was rescheduled at the officer's request. New hearing date is set for 03/25/2014.,,2/7/2014 11:06:42 AM,7/29/2014 9:14:49 AM,2100 - 2499 BLOCK K STREET NW,38.90252631535630,-77.04997735174150,,0,455077,391105,2,2A,2A02,SECOND,207,5,NONE,NONE,NONE,PHONE
14-00029305,UNKNOWN,S0422,Supercan - Delivery,SWMCOLSU,Supercans,2/7/2014 11:07:39 AM,CLOSED,1,DPW,N,2/10/2014 11:52:00 AM,Complete,2/10/2014 11:58:47 AM,3/10/2014 11:07:39 AM,Fowarded to Collections Manager,,2/7/2014 11:07:39 AM,2/10/2014 12:07:04 PM,4141 ALABAMA AVENUE SE,38.87085484335240,-76.94031214772040,20019,26216,14649,14649,7,7E,7E02,SIXTH,605,32,NONE,NONE,NONE,PHONE
14-00029306,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:08:00 AM,CLOSED,1,DDOT,N,2/12/2014 12:06:56 AM,UNKNOWN,2/12/2014 12:03:12 AM,2/14/2014 11:08:00 AM,Comments update:  14-00029306-Broken Parking Meter  Meter Found Working,,2/7/2014 11:08:00 AM,2/12/2014 10:36:13 AM,3500 - 3599 BLOCK VAN NESS STREET NW,38.943137344426,-77.06851037063870,,0,475128,408900,3,3F,3F01,SECOND,203,12,NONE,NONE,NONE,OPEN311
14-00029307,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:08:55 AM,CLOSED,1,DDOT,N,2/11/2014 12:52:03 PM,UNKNOWN,2/11/2014 12:48:22 PM,2/14/2014 11:08:55 AM,Comments update:  14-00029307-Broken Parking Meter  Meter Found Working,,2/7/2014 11:08:55 AM,2/12/2014 12:38:02 AM,600 - 699 BLOCK INDIANA AVENUE NW,38.89414432037730,-77.02090604630650,,0,454913,390941,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,OPEN311
14-00029308,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 11:10:00 AM,CLOSED,1,DPW,Y,2/7/2014 3:36:00 PM,Not Enforceable - Close SR,2/7/2014 3:36:44 PM,2/11/2014 11:10:00 AM,CAN NOT REACH PERSONNELL @ 12:16PM,,2/7/2014 11:10:00 AM,2/7/2014 4:05:13 PM,1810 EDWIN STREET NE,38.919731915090,-76.97794865225790,20018,55785,33354,33354,5,5B,5B02,FIFTH,505,22,NONE,NONE,NONE,PHONE
14-00029309,UNKNOWN,S0336,Out of State Parking Violation (ROSA),PARKENFO,Parking Enforcement,2/7/2014 11:10:12 AM,CLOSED,1,DPW,N,,UNKNOWN,2/11/2014 5:06:43 AM,3/26/2014 11:10:12 AM,,,2/7/2014 11:10:12 AM,2/11/2014 5:35:45 AM,2106 SPRUCE DRIVE NW,38.99278405937820,-77.04134742284420,20012,256697,99872,99872,4,4A,4A01,FOURTH,401,16,NONE,NONE,NONE,OPEN311
14-00029310,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:10:18 AM,CLOSED,1,DDOT,N,2/11/2014 4:37:28 PM,UNKNOWN,2/11/2014 4:33:20 PM,2/14/2014 11:10:18 AM,Comments update:  14-00029310-Broken Parking Meter  Meter Found Working,,2/7/2014 11:10:18 AM,2/12/2014 10:07:21 AM,300 - 313 BLOCK 1ST STREET NW,38.89362640394830,-77.01217844765180,,0,456009,392037,6,6C,6C09,FIRST,103,8,NONE,NONE,NONE,OPEN311
14-00029311,UNKNOWN,S0406,Street Repair,SISYINOD,SIOD ,2/7/2014 11:10:43 AM,CLOSED,1,DDOT,N,3/7/2014 9:54:04 AM,UNKNOWN,3/7/2014 9:50:41 AM,5/20/2014 11:10:43 AM,"Comments update:  14-00029311- By CRAIG, DIRK: 3/7/2014 9:50:41 AM Per Inspector Richardson, This is an ongoing project of permitted work by Pepco, the date of permitted work is effective until 3/13/2014. The restoration date has not been determined at this time:however, the Inspector will monitor the permit. PA10128662 ",,2/7/2014 11:10:43 AM,3/7/2014 10:07:38 AM,1736 14TH STREET NW,38.91377612148620,-77.03224216705990,20009,295006,130866,130866,2,2F,2F01,THIRD,301,7,NONE,NONE,NONE,WEB
14-00029312,UNKNOWN,11,Dead Animal Pickup,SWCODEAN,Dead Animal,2/7/2014 11:11:22 AM,OVERDUE CLOSED,1,DPW,N,3/21/2014 10:44:00 AM,Collected - Close SR,3/21/2014 10:44:32 AM,2/11/2014 11:11:22 AM,collected*closed by tramun on 3/21/14,,2/7/2014 11:11:22 AM,12/15/2014 10:03:34 AM,3311 6TH STREET SE,38.84144127263410,-76.99869688526780,20032,36792,21662,21662,8,8E,8E05,SEVENTH,705,39,NONE,NONE,NONE,PHONE
14-00029313,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:11:31 AM,CLOSED,1,DDOT,N,2/11/2014 12:52:03 PM,UNKNOWN,2/11/2014 12:48:23 PM,2/14/2014 11:11:31 AM,Comments update:  14-00029313-Broken Parking Meter  Meter Found Working,,2/7/2014 11:11:31 AM,2/12/2014 12:38:02 AM,600 - 699 BLOCK INDIANA AVENUE NW,38.89414432037730,-77.02090604630650,,0,454913,390941,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,OPEN311
14-00029314,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:11:48 AM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:30 PM,2/14/2014 11:11:48 AM,Comments update:  14-00029314-Broken Parking Meter  Meter Found Working,,2/7/2014 11:11:48 AM,2/12/2014 10:07:21 AM,1000 - 1099 BLOCK K STREET NW,38.90252213967010,-77.02651289948380,,0,457030,393052,2,2F,2F06,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00029315,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:13:02 AM,CLOSED,1,DDOT,N,2/11/2014 12:06:57 PM,UNKNOWN,2/11/2014 12:03:08 PM,2/14/2014 11:13:02 AM,Comments update:  14-00029315-Broken Parking MeterMeter Repaired,,2/7/2014 11:13:02 AM,2/11/2014 8:39:18 PM,1800 - 1899 BLOCK M STREET NW,38.90565430450470,-77.04256760288690,,0,454859,390887,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,OPEN311
14-00029316,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:15:03 AM,CLOSED,1,DDOT,N,2/11/2014 12:52:03 PM,UNKNOWN,2/11/2014 12:48:23 PM,2/14/2014 11:15:03 AM,Comments update:  14-00029316-Broken Parking Meter  Meter Found Working,,2/7/2014 11:15:03 AM,2/12/2014 12:38:02 AM,800 - 899 BLOCK S STREET NW,38.914086810594,-77.02345614064060,,0,459672,395391,6,1B,1B01,THIRD,308,3,NONE,NONE,NONE,OPEN311
14-00029317,UNKNOWN,S0441,Trash Collection - Missed,SWMCOLTR,Trash Collection,2/7/2014 11:17:07 AM,OVERDUE CLOSED,1,DPW,N,2/11/2014 1:14:00 PM,Icy Road/Close SR,2/27/2014 1:14:11 PM,2/11/2014 11:17:07 AM,due to snow.  closed by STG,,2/7/2014 11:17:07 AM,2/25/2015 2:04:15 PM,2641 GARFIELD STREET NW,38.92698277099270,-77.05514798993070,20008,219958,63332,63332,3,3C,3C02,SECOND,204,15,NONE,NONE,NONE,PHONE
14-00029318,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:17:26 AM,CLOSED,1,DDOT,N,2/11/2014 4:37:28 PM,UNKNOWN,2/11/2014 4:33:21 PM,2/14/2014 11:17:26 AM,Comments update:  14-00029318-Broken Parking Meter  Meter Found Working,,2/7/2014 11:17:26 AM,2/12/2014 10:07:21 AM,500 - 721 BLOCK 2ND STREET NW,38.89770584136030,-77.01365332198620,,0,476998,410352,6,6C,6C01,FIRST,103,8,NONE,NONE,NONE,OPEN311
14-00029319,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 11:17:35 AM,CLOSED,1,DPW,Y,2/7/2014 5:47:00 PM,Not Enforceable - Close SR,2/7/2014 5:48:25 PM,2/11/2014 11:17:35 AM,NO VIOLATION @ 2:25PM,,2/7/2014 11:17:35 AM,10/30/2014 12:31:17 PM,745 10TH STREET SE,38.88007547031910,-76.99285981772790,20003,78770,51389,51389,6,6B,6B04,FIRST,106,26,NONE,NONE,NONE,PHONE
14-00029320,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 11:17:50 AM,CLOSED,1,DPW,N,,UNKNOWN,2/14/2014 1:09:51 PM,3/4/2014 11:17:50 AM,,,2/7/2014 11:17:50 AM,9/9/2014 2:45:51 PM,96 BRANDYWINE PLACE SW,38.83023184170820,-77.01247214300510,20032,82908,54386,54386,8,8D,8D07,SEVENTH,708,39,NONE,NONE,NONE,PHONE
14-00029322,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 11:17:56 AM,CLOSED,1,DPW,Y,2/7/2014 3:32:00 PM,Ticket Issued - Close SR,2/7/2014 3:33:22 PM,2/11/2014 11:17:56 AM,NOI 8124394143 @ 12:06PM BDG 236,,2/7/2014 11:17:56 AM,2/7/2014 4:05:13 PM,3500 13TH STREET NW,38.93246103953380,-77.03006860437370,20010,230718,73734,73734,1,1A,1A04,FOURTH,409,2,NONE,NONE,NONE,WEB
14-00029321,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 11:17:57 AM,CLOSED,1,DDOT,N,2/10/2014 9:19:00 AM,UNKNOWN,2/10/2014 9:19:01 AM,2/12/2014 11:17:57 AM,"POTHOLE STREET REPAIR ( WO # 405583 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 09, 2014",,2/7/2014 11:17:57 AM,2/10/2014 11:36:17 AM,1140 23RD STREET NW,38.90468946596270,-77.05040665040470,20037,226400,69390,69390,2,2A,2A02,SECOND,207,5,NONE,NONE,NONE,WEB
14-00029323,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:19:11 AM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:30 PM,2/14/2014 11:19:11 AM,Comments update:  14-00029323-Broken Parking Meter  Meter Found Working,,2/7/2014 11:19:11 AM,2/12/2014 10:07:21 AM,2200 - 2299 BLOCK GEORGIA AVENUE NW,38.91949072742870,-77.021900904440,,0,476004,409498,1,1B,1B11,THIRD,305,3,NONE,NONE,NONE,OPEN311
14-00029324,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:19:20 AM,OVERDUE CLOSED,1,DDOT,N,1/30/2015 12:10:18 PM,UNKNOWN,1/30/2015 12:05:23 PM,2/14/2014 11:19:20 AM,Comments update:  14-00029324-Incorrect meter number and/or invalid information,,2/7/2014 11:19:20 AM,1/30/2015 1:36:11 PM,12TH STREET NW & G STREET NW,38.89831526597050,-77.028078144589,,0,207855,207855,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,PHONE
14-00029325,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 11:19:44 AM,CLOSED,1,DPW,N,,UNKNOWN,2/19/2014 2:47:21 PM,3/4/2014 11:19:44 AM,,,2/7/2014 11:19:44 AM,10/16/2014 1:06:29 PM,238 LONGFELLOW STREET NW,38.957483108890,-77.01562060787350,20011,244882,87765,87765,4,4B,4B06,FOURTH,406,17,NONE,NONE,NONE,PHONE
14-00029326,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 11:20:27 AM,CLOSED,1,DDOT,N,2/7/2014 1:12:21 PM,UNKNOWN,2/7/2014 1:07:02 PM,2/12/2014 11:20:27 AM,"Comments update:  14-00029326-Pothole Beach Drive Northwest, Washington, DC 20010, USA Combined to request - 1300262",,2/7/2014 11:20:27 AM,2/8/2014 3:35:05 PM,515 15TH STREET NW,38.89695531706020,-77.03339079309730,20004,279820,122321,122321,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,OPEN311
14-00029327,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 11:20:37 AM,CLOSED,1,DPW,Y,2/7/2014 11:58:00 AM,Ticket Issued - Close SR,2/7/2014 11:59:34 AM,2/11/2014 11:20:37 AM,6 tickets were issued @ 1134am  by 102,,2/7/2014 11:20:37 AM,7/17/2014 8:00:00 AM,4130 WISCONSIN AVENUE NW,38.94297147672750,-77.07731694857340,20016,302301,197326,197326,3,3C,3C06,SECOND,202,11,NONE,NONE,NONE,OPEN311
14-00029328,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:21:24 AM,CLOSED,1,DDOT,N,2/9/2014 9:53:43 PM,UNKNOWN,2/9/2014 9:48:15 PM,2/14/2014 11:21:24 AM,Comments update:  14-00029328-Broken Parking Meter  Meter Found Working,,2/7/2014 11:21:24 AM,2/10/2014 1:07:15 AM,1900 - 1999 BLOCK M STREET NW,38.90565485412730,-77.04417305607170,,0,454953,390981,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00029329,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:22:27 AM,CLOSED,1,DDOT,N,2/9/2014 7:38:28 PM,UNKNOWN,2/9/2014 7:33:48 PM,2/14/2014 11:22:27 AM,Comments update:  14-00029329-Broken Parking Meter  Meter Found Working,,2/7/2014 11:22:27 AM,2/9/2014 10:08:24 PM,3200 - 3256 BLOCK N STREET NW,38.90684476656750,-77.06413703504270,,0,476618,410019,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,OPEN311
14-00029330,UNKNOWN,S0181,Illegal Dumping,SWMSWEDU,Illegal Dumping,2/7/2014 11:23:21 AM,CLOSED,1,DPW,Y,,UNKNOWN,2/10/2014 4:59:28 PM,2/14/2014 11:23:21 AM,,,2/7/2014 11:23:21 AM,2/10/2014 5:36:38 PM,1650 WEST VIRGINIA AVENUE NE,38.909211147971,-76.98756016527550,20002,58388,35144,35144,5,5B,5B05,FIFTH,506,23,NONE,NONE,NONE,PHONE
14-00029331,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:23:59 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:52 AM,UNKNOWN,2/11/2014 11:18:15 AM,2/14/2014 11:23:59 AM,Comments update:  14-00029331-Broken Parking Meter  Meter Found Working,,2/7/2014 11:23:59 AM,2/11/2014 5:39:55 PM,1000 - 1099 BLOCK 2ND STREET NE,38.90312292423990,-77.00357179859390,,0,454892,390920,6,6C,6C04,FIRST,104,25,NONE,NONE,NONE,OPEN311
14-00029332,UNKNOWN,S0361,Sidewalk Repair,SISYINOD,SIOD ,2/7/2014 11:24:03 AM,OVERDUE OPEN,1,DDOT,N,12/1/2014 10:32:16 AM,UNKNOWN,,7/2/2014 11:24:03 AM,"SIDEWALK REMOVE & REPLACE ( WO # 375305 )Projected Start:  MAY 08, 2013    Finish: AUG 06, 2013   Actual Start:  N/A             Finish: N/A",,2/7/2014 11:24:03 AM,12/1/2014 11:03:20 AM,3526 S STREET NW,38.91433012695970,-77.070405411202,20007,270425,113282,113282,2,2E,2E01,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00029333,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 11:24:34 AM,CLOSED,1,DDOT,N,2/9/2014 7:38:28 PM,UNKNOWN,2/9/2014 7:33:49 PM,2/14/2014 11:24:34 AM,Comments update:  14-00029333-Broken Parking Meter  Meter Found Working,,2/7/2014 11:24:34 AM,2/9/2014 10:08:24 PM,3200 - 3256 BLOCK N STREET NW,38.90684476656750,-77.06413703504270,,0,476618,410019,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,OPEN311
