SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
14-00028295,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:21:05 AM,CLOSED,1,DDOT,N,2/9/2014 7:38:28 PM,UNKNOWN,2/9/2014 7:33:43 PM,2/13/2014 11:21:05 AM,Comments update:  14-00028295-Broken Parking MeterMeter Repaired,,2/6/2014 11:21:05 AM,2/9/2014 10:08:24 PM,100 - 199 BLOCK 7TH STREET NW,38.89130846954810,-77.02190678742910,,0,455404,391432,2,2C,2C03,FIRST,101,NONE,NONE,NONE,NONE,OPEN311
14-00028296,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 11:21:12 AM,CLOSED,1,DPW,N,,UNKNOWN,2/21/2014 12:36:21 PM,3/3/2014 11:21:12 AM,,,2/6/2014 11:21:12 AM,12/4/2014 9:20:16 AM,2032 48TH STREET NW,38.91757857941780,-77.09458355694270,20007,224545,67526,67526,3,3D,3D05,SECOND,205,13,NONE,NONE,NONE,PHONE
14-00028297,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/6/2014 11:21:45 AM,CLOSED,1,DDOT,N,2/11/2014 5:19:32 PM,UNKNOWN,2/12/2014 2:55:20 PM,,"Comments update:  14-00028297-Need a car seat for 11 month old child installed By GAY, KAREN: 2/11/2014 5:15:42 PM Provided a free rearfacing car seat ",,2/6/2014 11:21:45 AM,2/12/2014 3:06:18 PM,2800 MCKINLEY STREET NW,38.96471065756740,-77.05788992317060,20015,259807,102959,102959,4,3G,3G03,SECOND,201,10,NONE,NONE,NONE,WEB
14-00028298,UNKNOWN,S0021,Bicycle Issues,TRPOPLAD,Transportation Policy & Planning Administration,2/6/2014 11:22:04 AM,CLOSED,1,DDOT,N,5/28/2014 11:33:18 AM,UNKNOWN,5/28/2014 11:29:05 AM,,"Comments update:  14-00028298-Likely abandoned white bike, missing wheel locked to pole. Oposite another likely abandoned bike already reported that is damaged across the street from it.TENBROOK, CHARLES H: Combined with requests 1310352,1318930,1336358,1339099,1342344,1342782  By TENBROOK, CHARLES H: 5/28/2014 11:29:06 AM no bike found at this location  ",,2/6/2014 11:22:04 AM,5/28/2014 12:06:16 PM,1825 Q STREET NW,38.91129450087410,-77.04314360096090,20009,241237,84500,84500,2,2B,2B03,SECOND,208,6,NONE,NONE,NONE,WEB
14-00028299,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 11:22:17 AM,CLOSED,1,DPW,N,,UNKNOWN,2/19/2014 3:00:21 PM,3/3/2014 11:22:17 AM,,,2/6/2014 11:22:17 AM,2/19/2014 3:35:54 PM,6705 2ND STREET NW,38.971758756527,-77.01258392258880,20012,245250,88128,88128,4,4B,4B07,FOURTH,401,19,NONE,NONE,NONE,PHONE
14-00028300,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:22:28 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:52 AM,UNKNOWN,2/11/2014 11:18:10 AM,2/13/2014 11:22:28 AM,Comments update:  14-00028300-  Meter Found Working,,2/6/2014 11:22:28 AM,2/11/2014 5:39:55 PM,1133 NORTH CAPITOL STREET NE,38.90507299469020,-77.00824428172340,20002,149791,58633,58633,6,6C,6C04,FIRST,103,25,NONE,NONE,NONE,PHONE
14-00028301,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/6/2014 11:22:57 AM,CLOSED,1,DPW,Y,2/6/2014 11:38:00 AM,Not Enforceable - Close SR,2/6/2014 11:38:44 AM,2/10/2014 11:22:57 AM,what is the violation @ 1138am,,2/6/2014 11:22:57 AM,7/17/2014 7:59:59 AM,1100 - 1199 BLOCK ABBEY PLACE NE,38.90468637528420,-77.001298325468,,0,460970,396592,6,6C,6C04,FIRST,104,25,NONE,NONE,NONE,PHONE
14-00028302,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 11:24:17 AM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 9:50:25 AM,3/3/2014 11:24:17 AM,,,2/6/2014 11:24:17 AM,1/3/2015 12:01:17 PM,5504 9TH STREET NW,38.95652791481810,-77.02601011550770,20011,254511,97088,97088,4,4D,4D01,FOURTH,403,18,NONE,NONE,NONE,PHONE
14-00028303,UNKNOWN,DMPRCEMA,DMV - Processing Center Manager,DRIVEHSE,Driver Vehicle Services,2/6/2014 11:24:20 AM,CLOSED,1,DMV,N,2/8/2014 2:30:00 PM,Complete - Close SR,2/8/2014 2:30:34 PM,2/20/2014 9:24:20 PM,Not enough information.  Please have customer provide tag number.,,2/6/2014 11:24:20 AM,2/8/2014 3:05:06 PM,3985 MASSACHUSETTS AVENUE SE,38.87168695219520,-76.94704101609740,20019,28463,16450,16450,7,7B,7B07,SIXTH,605,34,NONE,NONE,NONE,PHONE
14-00028304,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:25:31 AM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:09 PM,2/13/2014 11:25:31 AM,Comments update:  14-00028304-Broken Parking Meter  Meter Found Working,,2/6/2014 11:25:31 AM,2/12/2014 10:07:20 AM,1700 - 1799 BLOCK I STREET NW,38.90133631700530,-77.04057276900260,,0,455289,391317,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,OPEN311
14-00028305,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:25:57 AM,CLOSED,1,DDOT,N,2/10/2014 1:37:28 PM,UNKNOWN,2/10/2014 1:33:06 PM,2/13/2014 11:25:57 AM,Comments update:  14-00028305-Broken Parking Meter  Meter Found Working,,2/6/2014 11:25:57 AM,2/10/2014 4:35:52 PM,2100 - 2199 BLOCK PENNSYLVANIA AVENUE NW,38.90169940347530,-77.04774436192870,,0,455073,391101,2,2A,2A06,SECOND,207,6,NONE,NONE,NONE,OPEN311
14-00028306,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 11:26:17 AM,CLOSED,1,DDOT,N,2/7/2014 7:48:07 AM,UNKNOWN,2/7/2014 7:48:10 AM,2/11/2014 11:26:17 AM,"POTHOLE STREET REPAIR ( WO # 405316 )Projected Start:  FEB 06, 2014    Finish: FEB 08, 2014   Actual Start:  N/A    Finish: FEB 06, 2014",,2/6/2014 11:26:17 AM,2/8/2014 2:37:02 AM,43RD ROAD NE & BENNING ROAD NE,38.89227569081840,-76.94097812001840,,0,278111,278298,7,7D,7D06,SIXTH,603,33,NONE,NONE,NONE,WEB
14-00028307,UNKNOWN,TRUREPOR,TRU Report,TRU311,TRU - 311,2/6/2014 11:26:38 AM,CLOSED,1,Call Center,N,,Complete - Close SR,2/6/2014 12:04:48 PM,,,,2/6/2014 11:26:38 AM,8/28/2014 5:28:05 PM,629 L STREET NE,38.90354183253110,-76.99721119168510,20002,2887,2404,2404,6,6C,6C04,FIRST,104,25,NONE,NONE,NONE,PHONE
14-00028308,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:27:26 AM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:09 PM,2/13/2014 11:27:26 AM,Comments update:  14-00028308-Broken Parking Meter  Meter Found Working,,2/6/2014 11:27:26 AM,2/12/2014 10:07:20 AM,700 - 799 BLOCK 12TH STREET NW,38.89906341826720,-77.02808156662430,,0,455715,391743,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00028309,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 11:27:26 AM,CLOSED,1,DPW,N,,UNKNOWN,2/19/2014 2:08:25 PM,3/3/2014 11:27:26 AM,,,2/6/2014 11:27:26 AM,5/29/2014 11:14:33 AM,5834 EASTERN AVENUE NE,38.95998583869920,-76.99548072182950,20011,6105,4087,4087,4,4B,4B09,FOURTH,406,19,NONE,NONE,NONE,PHONE
14-00028310,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:27:41 AM,CLOSED,1,DDOT,N,2/10/2014 8:23:13 PM,UNKNOWN,2/10/2014 8:19:23 PM,2/13/2014 11:27:41 AM,Comments update:  14-00028310-Broken Parking Meter  Meter Found Working,,2/6/2014 11:27:41 AM,2/10/2014 11:48:22 PM,600 - 649 BLOCK NEW JERSEY AVENUE NW,38.89757467934760,-77.01195425256360,,0,457182,393204,6,6C,6C01,FIRST,103,8,NONE,NONE,NONE,OPEN311
14-00028311,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:29:35 AM,CLOSED,1,DDOT,N,2/10/2014 8:23:13 PM,UNKNOWN,2/10/2014 8:19:23 PM,2/13/2014 11:29:35 AM,Comments update:  14-00028311-Broken Parking Meter  Meter Found Working,,2/6/2014 11:29:35 AM,2/10/2014 11:48:22 PM,600 - 649 BLOCK NEW JERSEY AVENUE NW,38.89757467934760,-77.01195425256360,,0,457182,393204,6,6C,6C01,FIRST,103,8,NONE,NONE,NONE,OPEN311
14-00028312,UNKNOWN,DMV31,DMV - Vehicle Title Issues,DRIVEHSE,Driver Vehicle Services,2/6/2014 11:30:28 AM,CLOSED,1,DMV,N,2/8/2014 2:32:00 PM,Mailed - Close SR,2/8/2014 2:32:17 PM,2/18/2014 9:30:28 PM,replacement mailed,,2/6/2014 11:30:28 AM,2/8/2014 3:05:06 PM,15TH STREET NW & GIRARD STREET NW,38.925319101226,-77.03542406979940,,0,207310,207310,1,1B,1B07,THIRD,304,2,NONE,NONE,NONE,PHONE
14-00028313,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:31:57 AM,CLOSED,1,DDOT,N,2/11/2014 12:06:57 PM,UNKNOWN,2/11/2014 12:03:05 PM,2/13/2014 11:31:57 AM,Comments update:  14-00028313-Broken Parking Meter  Meter Found Working,,2/6/2014 11:31:57 AM,2/11/2014 8:08:56 PM,900 - 918 BLOCK 10TH STREET NW,38.90116502931840,-77.02599384824440,,0,476836,410201,2,2F,2F06,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00028314,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:32:06 AM,CLOSED,1,DDOT,N,2/6/2014 12:07:31 PM,UNKNOWN,2/6/2014 12:03:05 PM,2/13/2014 11:32:06 AM,Comments update:  14-00028314-Address Not Found,,2/6/2014 11:32:06 AM,8/28/2014 5:28:05 PM,2400 PENNSYLVANIA AVENUE NW,38.902829154157,-77.05184007653960,20037,275589,118154,118154,2,2A,2A03,SECOND,207,5,NONE,NONE,NONE,PHONE
14-00028315,UNKNOWN,S05AL,Alleylight Repair Investigation,TRAOP001,TOA,2/6/2014 11:33:22 AM,OVERDUE CLOSED,1,DDOT,N,2/12/2014 5:22:33 AM,UNKNOWN,2/12/2014 5:18:06 AM,2/10/2014 11:33:22 AM,Comments update:  14-00028315-Repairs Completed,,2/6/2014 11:33:22 AM,2/12/2014 10:36:12 AM,4422 VOLTA PLACE NW,38.90941056863930,-77.08151047590210,20007,270973,113854,113854,3,3D,3D09,SECOND,205,13,NONE,NONE,NONE,PHONE
14-00028316,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:33:49 AM,CLOSED,1,DDOT,N,2/6/2014 12:07:31 PM,UNKNOWN,2/6/2014 12:03:06 PM,2/13/2014 11:33:49 AM,Comments update:  14-00028316-Address Not Found,,2/6/2014 11:33:49 AM,2/7/2014 4:36:58 AM,4100 - 4151 BLOCK BRANDYWINE STREET NW,38.94968787699220,-77.08100521473660,,0,455502,391530,3,3E,3E03,SECOND,202,11,NONE,NONE,NONE,PHONE
14-00028317,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:33:59 AM,CLOSED,1,DDOT,N,2/9/2014 7:38:28 PM,UNKNOWN,2/9/2014 7:33:44 PM,2/13/2014 11:33:59 AM,Comments update:  14-00028317-Broken Parking Meter  Meter Found Working,,2/6/2014 11:33:59 AM,2/9/2014 10:08:24 PM,100 - 199 BLOCK F STREET SE,38.88196081696540,-77.004691143832,,0,460215,395900,6,6B,6B01,FIRST,106,26,NONE,NONE,NONE,OPEN311
14-00028318,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/6/2014 11:34:37 AM,CLOSED,1,DDOT,N,2/11/2014 5:22:33 PM,UNKNOWN,2/18/2014 5:14:10 PM,,"Comments update:  14-00028318-Need a car seat for newborn By GAY, KAREN: 2/11/2014 5:18:30 PM Provided car seat inspection for car seat ",,2/6/2014 11:34:37 AM,2/18/2014 5:36:53 PM,3801 MILITARY ROAD NW,38.96125151734720,-77.07482320287260,20015,263782,106664,106664,3,3G,3G06,SECOND,201,10,NONE,NONE,NONE,WEB
14-00028319,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:34:42 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:09 PM,2/13/2014 11:34:42 AM,Comments update:  14-00028319-Broken Parking Meter  Meter Found Working,,2/6/2014 11:34:42 AM,2/12/2014 10:36:12 AM,1600 - 1699 BLOCK P STREET NW,38.90964329087920,-77.03750656635060,,0,456021,392049,2,2B,2B05,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00028320,UNKNOWN,DMV66,DMV - Copy of Ticket,ADJUSERV,Adjudication Services,2/6/2014 11:35:21 AM,CLOSED,1,DMV,N,2/6/2014 1:16:00 PM,UNKNOWN,2/6/2014 1:18:18 PM,2/13/2014 11:35:21 AM,"Proof of payment has been mailed out to the address requested by the customer.(152 Farley Rd Hollis, NH 03069)",,2/6/2014 11:35:21 AM,7/29/2014 9:14:49 AM,2200 - 2299 BLOCK N STREET NW,38.907241558620,-77.04945357615340,,0,455121,391149,2,2B,2B06,SECOND,208,5,NONE,NONE,NONE,PHONE
14-00028321,UNKNOWN,S0021,Bicycle Issues,TRPOPLAD,Transportation Policy & Planning Administration,2/6/2014 11:35:43 AM,CLOSED,1,DDOT,N,5/28/2014 1:48:33 PM,UNKNOWN,5/28/2014 1:44:49 PM,,"Comments update:  14-00028321-Likely abandoned Pink Magna Bike, chain off, rusted, fllat tires, locked to pole in in front of Library. By TENBROOK, CHARLES H: 5/28/2014 1:44:50 PM one bike removed ",,2/6/2014 11:35:43 AM,5/28/2014 2:08:21 PM,4200 KANSAS AVENUE NW,38.94220022373590,-77.02613742553680,20011,295146,131255,131255,4,4C,4C05,FOURTH,404,18,NONE,NONE,NONE,WEB
14-00028322,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:36:33 AM,CLOSED,1,DDOT,N,2/10/2014 8:23:13 PM,UNKNOWN,2/10/2014 8:19:24 PM,2/13/2014 11:36:33 AM,Comments update:  14-00028322-Broken Parking Meter  Meter Found Working,,2/6/2014 11:36:33 AM,2/10/2014 11:48:22 PM,600 - 649 BLOCK NEW JERSEY AVENUE NW,38.89757467934760,-77.01195425256360,,0,457182,393204,6,6C,6C01,FIRST,103,8,NONE,NONE,NONE,OPEN311
14-00028323,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/6/2014 11:36:43 AM,CLOSED,1,DPW,Y,2/6/2014 12:04:00 PM,Not Enforceable - Close SR,2/6/2014 12:04:57 PM,2/10/2014 11:36:43 AM,no violation @ 1201pm  by 257,,2/6/2014 11:36:43 AM,7/17/2014 7:59:59 AM,1736 GOOD HOPE ROAD SE,38.86607196020020,-76.97955018114470,20020,56735,33516,33516,8,7B,7B01,SEVENTH,701,34,NONE,NONE,NONE,PHONE
14-00028324,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/6/2014 11:38:54 AM,CLOSED,1,DDOT,N,2/18/2014 5:19:39 PM,UNKNOWN,2/18/2014 5:16:31 PM,,"Comments update:  14-00028324-Need a car seat for 2 year old installed By GAY, KAREN: 2/18/2014 5:16:27 PM DDOT Provided a High Back Booster with a harness ",,2/6/2014 11:38:54 AM,2/18/2014 5:36:53 PM,1920 QUINCY STREET NW,38.93765157198020,-77.04531104001640,20011,258215,101393,101393,4,4A,4A08,FOURTH,404,18,NONE,NONE,NONE,WEB
14-00028325,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:39:21 AM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:11 PM,2/13/2014 11:39:21 AM,Comments update:  14-00028325-Broken Parking Meter  Meter Found Working,,2/6/2014 11:39:21 AM,2/12/2014 10:07:20 AM,1700 - 1799 BLOCK I STREET NW,38.90133631700530,-77.04057276900260,,0,455289,391317,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,OPEN311
14-00028326,UNKNOWN,DMV01,DMV - Driver's License/ID Issues,DRIVEHSE,Driver Vehicle Services,2/6/2014 11:39:28 AM,CLOSED,1,DMV,N,2/12/2014 4:11:00 PM,Mailed - Close SR,2/12/2014 4:11:36 PM,2/24/2014 9:39:28 PM,"Greetings, the credential is currently being tracked and is scheduled to be delivered prior to the temporary credential expiring. If in the meantime, the customer�s temporary credential expires, the customer must visit any DMV service center for an updated temporary as any duplicate credential requires a new photograph.",,2/6/2014 11:39:28 AM,9/16/2014 1:36:08 PM,1200 - 1230 BLOCK 29TH STREET NW,38.90565665244230,-77.058116042117,,0,477949,411201,2,2E,2E06,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00028327,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 11:40:43 AM,CLOSED,1,DDOT,N,2/8/2014 8:24:22 AM,UNKNOWN,2/8/2014 8:24:25 AM,2/11/2014 11:40:43 AM,"POTHOLE STREET REPAIR ( WO # 405484 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 07, 2014",,2/6/2014 11:40:43 AM,2/9/2014 12:36:02 AM,40TH PLACE NW & VAN NESS STREET NW,38.94316239796960,-77.078034369312,,0,274357,274544,3,3F,3F06,SECOND,202,11,NONE,NONE,NONE,WEB
14-00028328,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:41:50 AM,CLOSED,1,DDOT,N,2/10/2014 8:23:13 PM,UNKNOWN,2/10/2014 8:19:24 PM,2/13/2014 11:41:50 AM,Comments update:  14-00028328-Broken Parking Meter  Meter Found Working,,2/6/2014 11:41:50 AM,2/10/2014 11:48:22 PM,200 - 299 BLOCK CONSTITUTION AVENUE NW,38.89208245451890,-77.01443561484780,,0,476509,409926,2,2C,2C03,FIRST,103,8,NONE,NONE,NONE,OPEN311
14-00028329,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/6/2014 11:42:53 AM,CLOSED,1,DPW,Y,2/6/2014 3:24:00 PM,Ticket Issued - Close SR,2/6/2014 6:08:29 PM,2/10/2014 11:42:53 AM,NOI 8124644566 @5:13PM  BDG 711,,2/6/2014 11:42:53 AM,2/6/2014 6:38:47 PM,741 KENTUCKY AVENUE SE,38.88025772085680,-76.98265175828150,20003,78618,51072,51072,6,6B,6B09,FIRST,108,26,NONE,NONE,NONE,WEB
14-00028330,UNKNOWN,DMV19,DMV - Vehicle Registration Issues,DRIVEHSE,Driver Vehicle Services,2/6/2014 11:43:38 AM,CLOSED,1,DMV,N,2/8/2014 2:33:00 PM,Mailed - Close SR,2/8/2014 2:33:39 PM,2/18/2014 9:43:38 PM,Replacement processed on 2/4/2014,,2/6/2014 11:43:38 AM,2/8/2014 3:05:06 PM,200 - 299 BLOCK C STREET SW,38.88605044668850,-77.01442859088240,,0,456312,392340,6,6D,6D02,FIRST,105,9,NONE,NONE,NONE,PHONE
14-00028331,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:43:43 AM,CLOSED,1,DDOT,N,2/10/2014 8:23:13 PM,UNKNOWN,2/10/2014 8:19:25 PM,2/13/2014 11:43:43 AM,Comments update:  14-00028331-Broken Parking Meter  Meter Found Working,,2/6/2014 11:43:43 AM,2/10/2014 11:48:22 PM,200 - 299 BLOCK CONSTITUTION AVENUE NW,38.89208245451890,-77.01443561484780,,0,476509,409926,2,2C,2C03,FIRST,103,8,NONE,NONE,NONE,OPEN311
14-00028332,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 11:45:04 AM,CLOSED,1,DDOT,N,2/6/2014 2:05:43 PM,UNKNOWN,2/6/2014 2:05:46 PM,2/11/2014 11:45:04 AM,"POTHOLE STREET REPAIR ( WO # 405357 )Projected Start:  FEB 06, 2014    Finish: FEB 08, 2014   Actual Start:  N/A    Finish: FEB 06, 2014",,2/6/2014 11:45:04 AM,2/7/2014 7:34:52 AM,4100 16TH STREET NW,38.94113155325750,-77.03689293023580,20011,258346,101212,101212,4,4A,4A08,FOURTH,404,18,NONE,NONE,NONE,WEB
14-00028333,UNKNOWN,RPP,Residential Parking Permit Violation,PARKENFO,Parking Enforcement,2/6/2014 11:45:07 AM,CLOSED,1,DPW,Y,2/6/2014 3:13:00 PM,Not Enforceable - Close SR,2/6/2014 3:14:22 PM,2/10/2014 11:45:07 AM,NO VIOLATION @ 3:11PM,,2/6/2014 11:45:07 AM,10/30/2014 12:31:17 PM,500 - 599 BLOCK 11TH STREET SE,38.88203020586360,-76.99153304100640,,0,456223,392251,6,6B,6B04,FIRST,107,26,NONE,NONE,NONE,PHONE
14-00028334,UNKNOWN,S0000,Abandoned Vehicle - On Public Property,ABAVEHOP,Abandoned Vehicle Operations - Public,2/6/2014 11:45:39 AM,CLOSED,1,DPW,Y,2/14/2014 1:17:00 PM,Nothing Found - Close SR,2/14/2014 1:17:27 PM,2/27/2014 11:45:39 AM,PER AVI L.SHABAZZ THERE WAS NOTHING FOUND ON THE VEHICLE IN QUESTION ON 2/10/14...MP,,2/6/2014 11:45:39 AM,2/6/2015 1:06:11 PM,1075 KENILWORTH AVENUE NE,38.90396973835480,-76.94119786774590,20019,300314,166537,166537,7,7D,7D03,SIXTH,602,31,NONE,NONE,NONE,PHONE
14-00028335,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 11:45:52 AM,CLOSED,1,DPW,N,,UNKNOWN,2/12/2014 12:55:49 PM,3/3/2014 11:45:52 AM,,,2/6/2014 11:45:52 AM,9/9/2014 2:45:51 PM,3021 G STREET SE,38.880022560201,-76.96337008671660,20019,41695,29406,29406,7,7A,7A07,SIXTH,605,34,NONE,NONE,NONE,PHONE
14-00028336,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:46:34 AM,CLOSED,1,DDOT,N,2/9/2014 10:38:48 PM,UNKNOWN,2/9/2014 10:33:13 PM,2/13/2014 11:46:34 AM,Comments update:  14-00028336-Broken Parking Meter  Meter Found Working,,2/6/2014 11:46:34 AM,2/10/2014 1:07:15 AM,300 - 379 BLOCK 6TH STREET NW,38.89400430560170,-77.01991281848080,,0,476376,409800,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,OPEN311
14-00028337,UNKNOWN,DMV31,DMV - Vehicle Title Issues,DRIVEHSE,Driver Vehicle Services,2/6/2014 11:47:53 AM,CLOSED,1,DMV,N,2/8/2014 2:34:00 PM,Not Enough Information - Close SR,2/8/2014 2:34:04 PM,2/18/2014 9:47:53 PM,,,2/6/2014 11:47:53 AM,3/3/2014 12:21:10 PM,2201 - 2420 BLOCK VIRGINIA AVENUE NW,38.89716446074440,-77.05016433788940,,0,455201,391229,2,2A,2A05,SECOND,207,5,NONE,NONE,NONE,PHONE
14-00028338,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:49:01 AM,CLOSED,1,DDOT,N,2/10/2014 12:07:18 PM,UNKNOWN,2/10/2014 12:03:06 PM,2/13/2014 11:49:01 AM,Comments update:  14-00028338-Broken Parking Meter  Meter Found Working,,2/6/2014 11:49:01 AM,2/10/2014 2:36:06 PM,500 - 599 BLOCK 8TH STREET NW,38.89667121244220,-77.022954214597,,0,457033,393055,2,2C,2C03,FIRST,102,8,NONE,NONE,NONE,OPEN311
14-00028339,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 11:49:04 AM,CLOSED,1,DDOT,N,2/11/2014 4:37:28 PM,UNKNOWN,2/11/2014 4:33:10 PM,2/13/2014 11:49:04 AM,Comments update:  14-00028339-Broken Parking Meter  Meter Found Working,,2/6/2014 11:49:04 AM,2/12/2014 10:07:20 AM,700 - 799 BLOCK 13TH STREET NW,38.89906098559470,-77.02962213764820,,0,455564,391592,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00028340,UNKNOWN,DMV01,DMV - Driver's License/ID Issues,DRIVEHSE,Driver Vehicle Services,2/6/2014 11:51:23 AM,CLOSED,1,DMV,N,2/12/2014 4:12:00 PM,Mailed - Close SR,2/12/2014 4:12:32 PM,2/24/2014 9:51:23 PM,"Greetings, the credential is currently being tracked and is scheduled to be delivered prior to the temporary credential expiring. If in the meantime, the customer�s temporary credential expires, the customer must visit any DMV service center for an updated temporary as any duplicate credential requires a new photograph.",,2/6/2014 11:51:23 AM,9/16/2014 1:36:08 PM,1432 U STREET NW,38.91678658213840,-77.033328355802,20009,279168,121324,121324,2,2B,2B09,THIRD,301,3,NONE,NONE,NONE,PHONE
14-00028341,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 11:51:47 AM,CLOSED,1,DDOT,N,2/7/2014 10:01:51 AM,UNKNOWN,2/8/2014 2:19:07 PM,2/11/2014 11:51:47 AM,"POTHOLE STREET REPAIR ( WO # 405449 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 07, 2014",,2/6/2014 11:51:47 AM,8/28/2014 5:28:05 PM,1400 NEW YORK AVENUE NW,38.89887554592380,-77.03240869834420,20005,279125,121243,121243,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,PHONE
14-00028342,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 11:52:41 AM,CLOSED,1,DPW,N,,UNKNOWN,2/18/2014 11:48:19 AM,3/3/2014 11:52:41 AM,,,2/6/2014 11:52:41 AM,1/3/2015 12:01:17 PM,1758 SEATON STREET NW,38.91744875565170,-77.04028405777940,20009,241368,84298,84298,1,1C,1C08,THIRD,301,6,NONE,NONE,NONE,PHONE
